Codi_centre;Denominació_completa;Nom_naturalesa;Nom_municipi
08000013;Escola Francesc Platón i Sartí;Públic;Abrera
08000049;Escola Fabra;Públic;Alella
08000086;Escola La Forja - ZER Alt Lluçanès;Públic;Alpens
08000098;Escola Bertí;Públic;L'Ametlla del Vallès
08000131;La Presentació;Privat;Arenys de Mar
08000153;Escola Joan Maragall;Públic;Arenys de Mar
08000165;Escola Sant Martí;Públic;Arenys de Munt
08000189;Escola Bernat de Riudemeia;Públic;Argentona
08000220;Vedruna Artés;Privat;Artés
08000244;Escola Doctor Ferrer;Públic;Artés
08000271;Escola Santa Maria d'Avià;Públic;Avià
08000347;Escola d'Avinyonet del Penedès;Públic;Avinyonet del Penedès
08000359;Escola La Muntanya;Públic;Aiguafreda
08000384;Escola Lola Anglada;Públic;Badalona
08000396;Escola Ventós i Mir;Públic;Badalona
08000402;Escola Feliu i Vegués;Públic;Badalona
08000499;Sant Domènec Savio;Privat;Badalona
08000517;Sant Andreu;Privat;Badalona
08000578;Nen Jesús de Praga;Privat;Badalona
08000608;Montserrat;Privat;Badalona
08000670;FEP Mare de Déu de la Salut;Privat;Badalona
08000700;Maristes Champagnat;Privat;Badalona
08000712;Llefià;Privat;Badalona
08000761;Badalonès;Privat;Badalona
08000827;Jesús Maria;Privat;Badalona
08000864;Cultural;Privat;Badalona
08000918;Cultural;Privat;Badalona
08000921;Arrels-Esperança;Privat;Badalona
08000943;Garbí Pere Vergés;Privat;Badalona
08000967;Betúlia;Privat;Badalona
08000979;López Torrejón;Privat;Badalona
08000980;Ramiro de Maeztu;Privat;Badalona
08001030;Cultural Fluvià;Privat;Badalona
08001066;Maria Ward;Privat;Badalona
08001108;Mare de Déu de l'Assumpció;Privat;Badalona
08001133;Arrels-Blanquerna;Privat;Badalona
08001145;Lestonnac;Privat;Badalona
08001157;Minguella;Privat;Badalona
08001170;Santíssima Trinitat;Privat;Badalona
08001297;Laietània;Privat;Badalona
08001391;Escola Planas i Casals;Públic;Badalona
08001421;Institut La Pineda;Públic;Badalona
08001431;Institut Isaac Albéniz;Públic;Badalona
08001443;Institut Eugeni d'Ors;Públic;Badalona
08001480;EA Pau Gargallo;Públic;Badalona
08001509;Escola Antoni Botey;Públic;Badalona
08001522;Escola Galceran de Pinós;Públic;Bagà
08001595;Escola Baixeras;Públic;Barcelona
08001601;Escola Parc de la Ciutadella;Públic;Barcelona
08001649;Escola Mossèn Jacint Verdaguer;Públic;Barcelona
08001650;Escola El Polvorí;Públic;Barcelona
08001674;Escola Can Clos;Públic;Barcelona
08001716;Escola Dolors Monserdà-Santapau;Públic;Barcelona
08001731;Escola Poeta Foix;Públic;Barcelona
08001777;Escola Ramon Llull;Públic;Barcelona
08001789;Escola Cervantes;Públic;Barcelona
08001790;Escola Pere Vila;Públic;Barcelona
08001807;Escola de la Concepció;Públic;Barcelona
08001819;Escola Collaso i Gil;Públic;Barcelona
08001820;Escola Milà i Fontanals;Públic;Barcelona
08001832;Escola Castella;Públic;Barcelona
08001856;Escola Drassanes;Públic;Barcelona
08001868;Escola Rubén Darío;Públic;Barcelona
08001911;Escola Els Llorers;Públic;Barcelona
08001923;Escola Diputació;Públic;Barcelona
08001947;Escola Mallorca;Públic;Barcelona
08002009;Escola Francesc Macià;Públic;Barcelona
08002010;Escola Lluís Vives;Públic;Barcelona
08002022;Escola Cal Maiol;Públic;Barcelona
08002058;Escola Pràctiques;Públic;Barcelona
08002061;Escola Jaume I;Públic;Barcelona
08002071;Escola Gayarre;Públic;Barcelona
08002113;Escola Rius i Taulet;Públic;Barcelona
08002174;Escola Baldiri Reixac;Públic;Barcelona
08002186;Escola Mare de Déu de Montserrat;Públic;Barcelona
08002198;Escola La Farigola de Vallcarca;Públic;Barcelona
08002204;Escola Montseny;Públic;Barcelona
08002216;Escola Josep Maria de Sagarra;Públic;Barcelona
08002277;Escola Calderón de la Barca;Públic;Barcelona
08002290;Escola Emili Juncadella;Públic;Barcelona
08002320;Escola Ciutat Comtal;Públic;Barcelona
08002344;Escola El Turó;Públic;Barcelona
08002368;Escola Timbaler del Bruc;Públic;Barcelona
08002393;Escola L'Arc de Sant Martí;Públic;Barcelona
08002411;Escola Baró de Viver;Públic;Barcelona
08002459;Escola Elisenda de Montcada;Públic;Barcelona
08002484;Escola Marta Mata;Públic;Barcelona
08002526;Escola Tibidabo;Públic;Barcelona
08002538;Escola Víctor Català;Públic;Barcelona
08002551;Escola Molí de Finestrelles;Públic;Barcelona
08002563;Escola La Mar Bella;Públic;Barcelona
08002575;Escola La Pau;Públic;Barcelona
08002587;Escola Concepción Arenal;Públic;Barcelona
08002599;Escola Eduard Marquina;Públic;Barcelona
08002617;Escola Rambleta del Clot;Públic;Barcelona
08002629;Escola Les Acàcies;Públic;Barcelona
08002630;Escola Els Porxos;Públic;Barcelona
08002642;Escola Poblenou;Públic;Barcelona
08002654;Escola Prim;Públic;Barcelona
08002666;CEE Concha Espina;Públic;Barcelona
08002681;Escola Duran i Bas;Públic;Barcelona
08002721;Escola Font d'en Fargas;Públic;Barcelona
08002733;Escola Miralletes;Públic;Barcelona
08002745;Escola El Carmel;Públic;Barcelona
08002770;Escola Àgora;Públic;Barcelona
08002800;Escola Mas Casanovas;Públic;Barcelona
08002873;Escola Bac de Roda;Públic;Barcelona
08002885;Escola Prosperitat;Públic;Barcelona
08002897;Escola Mestre Morera;Públic;Barcelona
08002903;CEE Sant Joan de la Creu;Públic;Barcelona
08002915;Escola Brasil;Públic;Barcelona
08002927;Escola Joaquim Ruyra;Públic;Barcelona
08002952;Escola Enric Granados;Públic;Barcelona
08002976;Escola Ramon Casas;Públic;Barcelona
08002988;Escola Pare Poveda;Públic;Barcelona
08002991;Escola Cascavell;Públic;Sant Adrià de Besòs
08003014;Jesús Maria;Privat;Barcelona
08003041;Sagrada Família;Privat;Barcelona
08003294;Sant Felip Neri;Privat;Barcelona
08003361;Maristes Anna Ravell;Privat;Barcelona
08003491;Escola De Bosc de Montjuïc;Públic;Barcelona
08003543;Salesià de Sant Josep;Privat;Barcelona
08003592;Maria Auxiliadora;Privat;Barcelona
08003609;Scuola dell'Infanzia Italiana parif. M. Montessori;Privat;Barcelona
08003610;Jesús Maria;Privat;Barcelona
08003658;Stucom Còrsega - Sant Francesc;Privat;Barcelona
08003671;JesuÏtes Poble Sec - Sant Pere Claver;Privat;Barcelona
08003695;Escola Bàrkeno;Públic;Barcelona
08003701;Alfageme;Privat;Barcelona
08003725;Garbiñe;Privat;Barcelona
08003774;Lexia;Privat;Barcelona
08003816;Thau;Privat;Barcelona
08003907;La Salle Bonanova;Privat;Barcelona
08003993;Canigó;Privat;Barcelona
08004018;Mary Ward;Privat;Barcelona
08004031;Sant Marc de Sarrià;Privat;Barcelona
08004067;Jesuïtes Sarrià - Sant Ignasi;Privat;Barcelona
08004080;Sil;Privat;Barcelona
08004122;Sagrado Corazón;Privat;Barcelona
08004171;Santa Anna-Eixample;Privat;Barcelona
08004183;Stel·la;Privat;Barcelona
08004195;Sant Gregori;Privat;Barcelona
08004201;Santa Teresa - Ganduxer;Privat;Barcelona
08004225;St. Peter's School;Privat;Barcelona
08004286;Escola Pia de Sarrià-Calassanç;Privat;Barcelona
08004316;Decroly;Privat;Barcelona
08004328;Nostra Senyora de Lurdes;Privat;Barcelona
08004389;Escola Reina Violant;Públic;Barcelona
08004390;Sant Pau;Privat;Barcelona
08004432;Istituto Italiano Statale c.sc.el.e.sec. I e II gr;Privat;Barcelona
08004471;Nausica;Privat;Barcelona
08004511;Betània-Patmos;Privat;Barcelona
08004523;Paideia;Privat;Barcelona
08004559;Abat Oliba-Loreto;Privat;Barcelona
08004626;Jesuïtes Sant Gervasi - Infant Jesús;Privat;Barcelona
08004641;Lys;Privat;Barcelona
08004705;Reial Monestir de Santa Isabel;Privat;Barcelona
08004717;Sagrat Cor-Sarrià;Privat;Barcelona
08004742;Jesús i Maria;Privat;Barcelona
08004778;Santa Dorotea;Privat;Barcelona
08004781;Salesians Sant Àngel;Privat;Barcelona
08004808;Casa del Roure;Privat;Barcelona
08004869;Peter Pan;Privat;Barcelona
08004900;Madres Concepcionistas de la Enseñanza;Privat;Barcelona
08004912;Montserrat;Privat;Barcelona
08005072;Sadako;Privat;Barcelona
08005102;La Salle Comtal;Privat;Barcelona
08005114;Mare del Diví Pastor;Privat;Barcelona
08005151;Sant Francesc Xavier;Privat;Barcelona
08005199;Jesuïtes Casp - Sagrat Cor de Jesús;Privat;Barcelona
08005205;Pérez Iborra;Privat;Barcelona
08005242;Escola Pia de Nostra Senyora;Privat;Barcelona
08005266;Sagrat Cor-Diputació;Privat;Barcelona
08005357;Collège Ferdinand de Lesseps;Privat;Barcelona
08005370;Jesuïtes Gràcia - Kostka;Privat;Barcelona
08005382;Escolàpies Llúria-Barcelona;Privat;Barcelona
08005394;Lestonnac;Privat;Barcelona
08005400;Santa Claus;Privat;Barcelona
08005412;Lleó XIII;Privat;Barcelona
08005436;Dominiques Barcelona;Privat;Barcelona
08005473;San Nicolás;Privat;Barcelona
08005485;Llar Marillac;Privat;Barcelona
08005564;Maristes La Immaculada;Privat;Barcelona
08005618;Vedruna Àngels Barcelona;Privat;Barcelona
08005746;Escola Pia Sant Antoni;Privat;Barcelona
08005761;IPSE;Privat;Barcelona
08005771;Sagrat Cor-Esclaves;Privat;Barcelona
08005801;Mare de Déu del Roser;Privat;Barcelona
08005965;Sant Francesc d'Assís;Privat;Barcelona
08006052;FEP Sant Josep Oriol;Privat;Barcelona
08006118;Proa;Privat;Barcelona
08006143;Josep Tous;Privat;Barcelona
08006209;FEP Sant Medir;Privat;Barcelona
08006465;Nostra Senyora del Carme;Privat;Barcelona
08006477;Lloret;Privat;Barcelona
08006490;Montserrat;Privat;Barcelona
08006532;Maristes Sants - les Corts;Privat;Barcelona
08006702;Inglés;Privat;Barcelona
08006751;Virolai;Privat;Barcelona
08006908;Vedruna Gràcia Barcelona;Privat;Barcelona
08006945;Acis-Artur Martorell;Privat;Barcelona
08006970;Sant Josep;Privat;Barcelona
08006994;Sant Josep-Teresianes;Privat;Barcelona
08007032;La Salle Gràcia;Privat;Barcelona
08007101;Reina Elisenda;Privat;Barcelona
08007202;Escola Patronat Domènech;Públic;Barcelona
08007445;Escola Pia Luz Casanova;Privat;Barcelona
08007469;FEDAC-Amilcar;Privat;Barcelona
08007482;Sant Lluís;Privat;Barcelona
08007494;Sagrada Família;Privat;Barcelona
08007524;Prínceps 23 d'Abril;Privat;Barcelona
08007597;La Salle Congrés;Privat;Barcelona
08007603;Arrels;Privat;Barcelona
08007721;Jesús Maria;Privat;Barcelona
08007858;Escolàpies Sant Martí - Barcelona;Privat;Barcelona
08007871;Sant Ferran;Privat;Barcelona
08007913;Mare de Déu de Núria;Privat;Barcelona
08008012;San Rafael;Privat;Barcelona
08008036;Joan Roca 1953;Privat;Barcelona
08008191;Santa Maria dels Apòstols;Privat;Barcelona
08008267;FEP L'Esperança;Privat;Barcelona
08008279;FEDAC-Sant Andreu;Privat;Barcelona
08008309;FEP Mare Alfonsa Cavín;Privat;Barcelona
08008361;Cor de Maria-Sabastida;Privat;Barcelona
08008371;Mare de Déu dels Àngels;Privat;Barcelona
08008401;FEP Bon Pastor;Privat;Barcelona
08008449;Escola Turó Blau;Públic;Barcelona
08008462;Jesús, Maria i Josep;Privat;Barcelona
08008474;Valldaura;Privat;Barcelona
08008504;Providencia del Corazón de Jesús;Privat;Barcelona
08008516;Mare de Déu de la Soledat;Privat;Barcelona
08008531;Amor de Dios;Privat;Barcelona
08008656;Ramon Llull;Privat;Barcelona
08008681;Ginesta;Privat;Montcada i Reixac
08008701;Grey;Privat;Barcelona
08008747;Mireia;Privat;Barcelona
08008784;Sant Gabriel;Privat;Barcelona
08008796;Verns;Privat;Barcelona
08008826;Miró;Privat;Barcelona
08008851;Voramar;Privat;Barcelona
08008930;San Francisco;Privat;Barcelona
08008981;Sagrat Cor Besòs;Privat;Barcelona
08009016;Roig Tesalia;Privat;Barcelona
08009156;Sagrado Corazón;Privat;Barcelona
08009171;Escola Casas;Públic;Barcelona
08009235;FEP Santíssima Trinitat;Privat;Barcelona
08009247;Grèvol;Privat;Barcelona
08009260;Jesuïtes Clot - El Clot;Privat;Barcelona
08009430;Didac;Privat;Barcelona
08009454;FEP Sant Ramon;Privat;Barcelona
08009466;Sant Ramon Nonat-Sagrat Cor;Privat;Barcelona
08009491;Montserrat;Privat;Barcelona
08009508;FEP Santa Teresa de Lisieux;Privat;Barcelona
08009636;Sant Miquel;Privat;Barcelona
08009673;Pare Manyanet;Privat;Barcelona
08009697;IPSI;Privat;Barcelona
08009776;Escola Arc Iris;Públic;Barcelona
08009806;FEDAC-Horta;Privat;Barcelona
08009934;La Salle Horta;Privat;Barcelona
08009971;Guinardó;Privat;Barcelona
08009995;Regina Carmeli;Privat;Barcelona
08010006;Nou Patufet;Privat;Barcelona
08010031;Grimm;Privat;Barcelona
08010055;Princesa Margarita;Privat;Barcelona
08010146;Escola del Mar;Públic;Barcelona
08010171;Immaculada Concepció;Privat;Barcelona
08010201;Escola Parc del Guinardó;Públic;Barcelona
08010304;Santa Teresa de Jesús;Privat;Barcelona
08010341;Vedruna Immaculada Barcelona;Privat;Barcelona
08010432;Sagrada Família-Horta;Privat;Barcelona
08010468;Palcam;Privat;Barcelona
08010501;Claret;Privat;Barcelona
08010547;Mare de Déu del Coll;Privat;Barcelona
08010641;Abat Oliba-Spínola;Privat;Barcelona
08010821;Magòria;Privat;Barcelona
08010882;Molina;Privat;Barcelona
08010912;Escola Ignasi Iglésias;Públic;Barcelona
08010961;La Salle Barceloneta;Privat;Barcelona
08011096;Piaget;Privat;Barcelona
08011199;Adela de Trenquelleón;Privat;Barcelona
08011266;Aspace;Privat;Barcelona
08011281;Inst. Pedagogia Terapèut. Jeroni de Moragas;Privat;Barcelona
08011291;Pedralbes;Privat;Barcelona
08011394;Sant Joan Bosco;Privat;Barcelona
08011424;Sants Innocents;Privat;Barcelona
08011448;Gravi;Privat;Barcelona
08011451;Aspasim;Privat;Barcelona
08011606;Asunción de Nuestra Señora;Privat;Barcelona
08011643;FEP Aprenents EE;Privat;Barcelona
08011941;Escola Pia Balmes;Privat;Barcelona
08012027;Frederic Mistral-Tècnic Eulàlia;Privat;Barcelona
08012714;Institut Anna Gironella de Mundet;Públic;Barcelona
08012970;LLI privada Kasperle;Privat;Barcelona
08013071;FEP Nostra Senyora de Montserrat EE;Privat;Barcelona
08013093;Institut Montjuïc;Públic;Barcelona
08013101;Institut Joan d'Àustria;Públic;Barcelona
08013111;Institut Jaume Balmes;Públic;Barcelona
08013135;Institut Moisès Broggi;Públic;Barcelona
08013147;Institut Emperador Carles;Públic;Barcelona
08013159;Institut Infanta Isabel d'Aragó;Públic;Barcelona
08013160;Institut Poeta Maragall;Públic;Barcelona
08013184;Institut Bernat Metge;Públic;Barcelona
08013196;Institut Milà i Fontanals;Públic;Barcelona
08013202;Institut Montserrat;Públic;Barcelona
08013214;Institut Narcís Monturiol;Públic;Barcelona
08013226;Institut Menéndez y Pelayo;Públic;Barcelona
08013238;Institut Verdaguer;Públic;Barcelona
08013275;Institut Escola del Treball;Públic;Barcelona
